"Instalação","Gás natural  (Mm³/d)","Nº poços  produtores","Campos produtores","mes"
"FPSO Guanabara",11562,5,"Anc_Mero / Mero",2024-02-01
"FPSO Carioca (Mv-30)",5949,4,"Sépia / Sépia Leste / Sépia_Eco",2024-02-01
"Petrobras 77",6222,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 75 (P-75)",6862,4,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 70",5650,5,"Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu",2024-02-01
"FPSO Almirante Barroso",5727,3,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 76",6035,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"Petrobras 68",4428,10,"Berbigão / Sul De Berbigão / Sururu",2024-02-01
"Petrobras 71",1958,4,"Itapu / Itapu_Eco",2024-02-01
"FPSO Cidade de Saquarema",5716,7,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Cidade de Maricá",4292,5,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Cidade de Mangaratiba",6018,8,"Tupi",2024-02-01
"FPSO Cidade de Itaguaí",6131,8,"Tupi",2024-02-01
"FPSO Cidade de Paraty",4609,6,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 66 (P-66)",5412,7,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 69",4771,6,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"Petrobras 74 (P-74)",3624,5,"Búzios / Búzios_Eco / Tambuatá",2024-02-01
"FPSO Cidade de Ilha Bela",3878,6,"Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá",2024-02-01
"Petrobras 58",2043,13,"Jubarte",2024-02-01
"FPSO Cidade de São Paulo",2637,6,"Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá",2024-02-01
"FPSO Cidade de Campos dos Goytacazes",723,12,"Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste",2024-02-01
"Petrobras 52",995,15,"Roncador",2024-02-01
"Peregrino C",191,6,"Peregrino / Pitangola",2024-02-01
"Polo Arara",7255,33,"Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu",2024-02-01
"FPSO Pioneiro de Libra",2451,1,"Anc_Mero / Mero",2024-02-01
"FPSO Sepetiba",2143,1,"Anc_Mero / Mero",2024-02-01
"Peregrino A",46,14,"Peregrino",2024-02-01
"FPSO Cidade de Angra dos Reis",1577,5,"Anc_Tupi / Sul De Tupi / Tupi",2024-02-01
"FPSO Frade",432,12,"Frade",2024-02-01
