"Bacia","Petróleo (bbl/d)","Gás Natural (Mm³/d)","Produção Total (boe/d)","Nº Campos produtores","mes"
"Santos",2544721,114033,3261970,29,2024-02-01
"Campos",808232,11511,880634,31,2024-02-01
"Solimões",10994,13114,93477,7,2024-02-01
"Potiguar",34498,1199,42040,67,2024-02-01
"Recôncavo",19444,2612,35870,74,2024-02-01
"Espírito Santo",18160,812,23270,25,2024-02-01
"Camamu",208,1937,12389,2,2024-02-01
"Alagoas",2888,1286,10975,10,2024-02-01
"Sergipe",8880,56,9230,17,2024-02-01
"Parnaíba",47,1291,8165,6,2024-02-01
"Amazonas",229,656,4354,1,2024-02-01
"Tucano Sul",3,106,668,6,2024-02-01
"Paraná",0,23,146,1,2024-02-01
"Barreirinhas",17,0,18,1,2024-02-01
"Total",3448322,148635,4383206,277,2024-02-01
